Tempo	Controle	Problema Motor
5,86	-1,73971494	1,17481364
5,88	-1,75502926	0,506839795
5,9	-0,3706082805	0,111328976
5,92	0,701399191	-0,624028185
5,94	0,66770748	-0,93750712
5,96	0,560506734	-1,52930855
5,98	0,69221053	-2,07423458
6	0,634015815	-2,33790832
6,02	0,2021499785	-2,8388888
6,04	0,1010749904	-3,04982788
6,06	0,082697719	-3,3984632
6,08	-0,05513181075	-3,6474889
6,1	-0,174584076	-3,74416922
6,12	-0,275659071	-3,90530316
6,14	-0,189898465	-3,9551083
6,16	0,143955298	-3,94338934
6,18	0,44718026	-3,73830985
6,2	0,5941983875	-3,56545684
6,22	0,9862468195	-3,10842213
6,24	1,16389384	-2,48732363
6,26	1,500810375	-2,14161783
6,28	2,21446116	-1,41504979
6,3	2,554440605	-1,031257865
6,32	2,88829423	-0,105469551
6,34	2,93423742	0,808599935
6,36	2,784156555	0,905280343
6,38	2,284907285	0,471683267
6,4	1,89898465	0,348635452
6,42	1,11182483	0,50098037
6,44	0,8759832095	0,656255017
6,46	0,1837727025	0,66211442
6,48	-1,620262715	0,5976608
6,5	-2,713710315	0,56543399
6,52	-4,392167745	0,483402106
6,54	-4,76890165	0,413089072
6,56	-4,15020027	0,401370255
6,58	-2,7627163	0,421878204
6,6	-2,480931455	0,43652675
6,62	-2,765779325	0,421878204
6,64	-3,15170196	0,37207313
6,66	-4,039936545	0,348635452
6,68	-4,6188209	0,345705745
6,7	-4,75052465	0,380862273
6,72	-4,698455755	0,462894168
6,74	-3,93273573	0,43652675
6,76	-3,38141791	0,37500287
6,78	-2,618761025	0,202149981
6,8	-2,232838275	0,1230478106
6,82	-0,6646446275	0,011718839
6,84	1,0413786705	-0,00292970986
6,86	1,592696755	0,00292970986
6,88	2,0306884	0,0263673872
6,9	1,966367865	-0,0175782596
6,92	1,154705225	-0,0673833237
6,94	0,640141589	-0,169923171
6,96	1,19758539	-0,199220274
6,98	2,790282375	-0,193360849
7	3,2221482	-0,143555775
7,02	3,0261238	-0,099610137
7,04	1,862230075	0,0058594195
7,06	1,27415745	0,055664488
7,08	0,793285525	0,1289072334
7,1	0,750405199	0,172852867
7,12	0,471683287	0,18164201
7,14	-0,04594317505	0,184571717
7,16	-0,229715881	0,190431142
7,18	-0,162332551	0,208009395
7,2	0,1010749904	0,231447084
7,22	0,768782475	0,251955044
7,24	1,121013445	0,269533297
7,26	1,154705225	0,26660359
7,28	1,044441546	0,26660359
7,3	0,793285525	0,260744176
7,32	0,661581775	0,249025337
7,34	0,496186291	0,219728234
7,36	0,4747461625	0,210939102
7,38	0,5329408545	0,205079677
7,4	0,679959005	0,190431142
7,42	0,80247414	0,196290567
7,44	1,065881709	0,251955044
7,46	1,157768135	0,301760107
7,48	1,20371121	0,398440548
7,5	1,07507037	0,492191238
7,52	0,98012108	0,550785466
7,54	0,833102964	0,667973856
7,56	0,80553705	0,773443396
7,58	0,839228715	0,808599935
7,6	0,96480676	0,81738899
7,62	1,081196075	0,788091953
7,64	1,43036425	0,697270904
7,66	1,60801119	0,60937965
7,68	1,889796035	0,577152807
7,7	2,180769495	0,495120956
7,72	2,321661975	0,439456468
7,74	2,438051175	0,31054925
7,76	2,49624589	0,1494152
7,78	2,99243225	0,0410159387
7,8	3,67545405	-0,228517366
7,82	3,831660965	-0,380862273
7,84	3,82553526	-0,667973856
7,86	3,81328385	-0,963874505
7,88	3,767340545	-1,12207887
7,9	3,28646862	-1,45020634
7,92	2,84235127	-1,62891861
7,94	1,44261566	-1,97169467
7,96	-0,049006054	-2,27931407
7,98	-0,5421294925	-2,40822142
8	-1,748903555	-2,61330124
8,02	-2,5084973	-2,69240345
8,04	-3,834723875	-2,81838073
8,06	-4,6463864	-2,92385038
8,08	-4,77809015	-2,9648663
8,1	-4,686204	-2,95900693
8,12	-4,61575776	-2,91213153
8,14	-4,72908405	-2,74220848
8,16	-5,2926542	-2,5400584
8,18	-5,69695395	-2,46388593
8,2	-6,42898185	-2,2822437
8,22	-6,60050297	-1,98341352
8,24	-6,78121305	-1,82520921
8,26	-6,928230775	-1,48829252
8,28	-6,5606856	-1,30079114
8,3	-4,9496115	-0,902350636
8,32	-4,33397303	-0,483402106
8,34	-3,693831395	-0,27832244
8,36	-1,80097245	0,155274614
8,38	-0,3522310275	0,389651416
8,4	1,8744816	0,62695787
8,42	2,364542025	0,37500287
8,44	2,42579965	0,26660359
8,46	1,77953231	0,369143434
8,48	1,356855215	0,530277495
8,5	0,6248272	0,84082669
8,52	0,7534680745	0,86133465
8,54	1,0566930595	0,796881096
8,56	2,09807173	0,694341197
8,58	2,8025339	0,647465874
8,6	3,4947442	0,547855726
8,62	2,6463271	0,483402106
8,64	1,94799075	0,465823875
8,66	1,16695675	0,45996445
8,68	1,124076355	0,465823875
8,7	0,903549135	0,477542681
8,72	0,168458325	0,46875356
8,74	-0,189898465	0,465823875
8,76	-0,5298779675	0,483402106
8,78	-0,395111319	0,50098037
8,8	0,5298779675	0,518558645
8,82	1,372169535	0,52441807
8,84	1,503873285	0,536136876
8,86	1,28947177	0,568363675
8,88	1,035252885	0,58301221
8,9	0,5206893295	0,58301221
8,92	0,2052128655	0,591801364
8,94	0,1470181735	0,60644991
8,96	0,2664704215	0,6210985
8,98	0,4257400855	0,5976608
9	0,771845385	0,577152807
9,02	1,0413786705	0,55957462
9,04	1,16695675	0,553715184
9,06	1,399735495	0,536136876
9,08	1,38442106	0,509769513
9,1	1,280283155	0,495120956
9,12	1,212899825	0,48926152
9,14	1,329289255	0,50098037
9,16	1,60801119	0,53320718
9,18	1,748903555	0,547855726
9,2	1,846915755	0,547855726
9,22	2,21752407	0,547855726
9,24	2,42579965	0,54199629
9,26	2,5483149	0,52441807
9,28	2,42579965	0,52441807
9,3	2,5084973	0,536136876
9,32	2,95874047	0,580082514
9,34	3,19764515	0,615239053
9,36	3,68770569	0,682622413
9,38	4,0215592	0,76758396
9,4	3,880667065	0,83203758
9,42	3,17620501	0,984382487
9,44	2,88523132	1,069344045
9,46	2,11951187	1,23926726
9,48	0,630952951	1,40333094
9,5	0,0275659048	1,48536289
9,52	-0,69221053	1,67872364
9,54	-1,0781332225	1,93360849
9,56	-2,137889215	2,08009395
9,58	-3,44880101	2,30861125
9,6	-3,929672935	2,37306487
9,62	-4,30946998	2,45216708
9,64	-4,3155958	2,40822142
9,66	-4,19920637	2,3437678
9,68	-3,96642751	2,10646139
9,7	-4,042999455	1,88087361
9,72	-4,612695195	1,33301795
9,74	-5,34472275	0,70313034
9,76	-5,6050678	0,37500287
9,78	-5,798028945	-0,246095619
9,8	-5,80415465	-0,577152807
9,82	-5,709205705	-1,22461867
9,84	-4,72295823	-1,91017079
9,86	-3,94805005	-2,26759522
9,88	-2,698395995	-2,90334242
9,9	-2,159329355	-3,19338382
9,92	-0,82697719	-3,73245037
9,94	0,450243124	-4,1601879
9,96	1,016875655	-4,34768928
