Tempo	C1	C2	C3	C4	C5
2,92	-0,75959386	2,2478864	-3,7074146	-3,1774035	-3,6621373
2,94	-0,96480676	2,3863819	-4,003049	-2,7033231	-4,045663
2,96	-2,137889215	2,4130156	-4,418535	-2,5488474	-4,232099
2,98	-2,90667146	2,3677382	-4,6715555	-1,9788858	-4,5277333
3	-3,98786765	2,3570848	-4,796734	-0,8629327	-4,626278
3,02	-4,162451795	2,4210057	-5,0577445	-0,2530204	-4,810051
3,04	-4,092005555	2,6287487	-5,1882496	0,7883583	-5,1669426
3,06	-3,94192446	2,7539272	-5,40931	1,1772107	-5,332072
3,08	-4,0215592	3,1401162	-5,513181	1,4568648	-5,1509624
3,1	-4,24514956	3,4357505	-5,521171	0,836299	-4,7993975
3,12	-4,952674525	3,2120273	-5,4359436	0,4767437	-4,149534
3,14	-5,36309975	1,7205386	-5,324082	0,27432737	-3,3798199
3,16	-6,1226943	0,34357506	-4,980507	0,54599136	-2,7619174
3,18	-6,248272	0,111861646	-4,644922	1,1319333	-1,2278148
3,2	-5,865412275	-0,26900062	-4,5277333	1,4355578	0,386189
3,22	-4,89754295	-0,67916	-4,1575246	1,5048054	1,0493687
3,24	-4,686204	-1,7045584	-3,8059595	1,2837455	1,4834985
3,26	-4,42585941	-2,6820161	-2,737947	1,0946461	1,2864089
3,28	-3,350789155	-3,0788586	-1,2757554	0,75107104	0,5939321
3,3	-2,667767125	-3,5635924	-0,522021	0,5326745	0,5193576
3,32	-1,418112725	-3,7447019	0,7457443	0,53800124	0,9534874
3,34	-0,71671358	-4,31999	1,1985177	0,59659547	1,9442619
3,36	0,820851439	-5,0817146	1,7258654	0,5513181	2,2958272
3,38	1,44567857	-5,382676	2,0135098	0,5326745	2,5355306
3,4	1,33847787	-5,6809735	2,1227078	0,54865474	1,6646079
3,42	0,569695395	-5,7448945	1,5367659	0,5699617	1,1372601
3,44	0,361419643	-5,8274593	0,7883583	0,6232292	0,91620016
3,46	1,53756495	-5,667657	0,09055467	0,6392094	0,9881112
